"","Variable","training","validation","vi","Type","Range"
"306","Frac_rice.1000","SLTA","GTB",0.008725301,"Land cover",1000
"307","Frac_rice.1000","SLTA","GTA",0.008823271,"Land cover",1000
"308","Frac_rice.1000","Mean",NA,0.00628235141666666,"Land cover",1000
"309","Frac_rice.200","GTB","GTA",0,"Land cover",200
"310","Frac_rice.200","GTB","SLTA",0.010585166,"Land cover",200
"311","Frac_rice.200","GTA","GTB",0,"Land cover",200
"312","Frac_rice.200","GTA","SLTA",0.010547689,"Land cover",200
"313","Frac_rice.200","SLTA","GTB",0.011355139,"Land cover",200
"314","Frac_rice.200","SLTA","GTA",0.010989895,"Land cover",200
"315","Frac_rice.200","Mean",NA,0.00724631483333333,"Land cover",200
"316","Frac_rice.25","GTB","GTA",0.013281732,"Land cover",25
"317","Frac_rice.25","GTB","SLTA",0.017130934,"Land cover",25
"318","Frac_rice.25","GTA","GTB",0.0015455927,"Land cover",25
"319","Frac_rice.25","GTA","SLTA",0.020622047,"Land cover",25
"320","Frac_rice.25","SLTA","GTB",0.009455577,"Land cover",25
"321","Frac_rice.25","SLTA","GTA",0.010061082,"Land cover",25
"322","Frac_rice.25","Mean",NA,0.0120161607833333,"Land cover",25
"323","Frac_rice.50","GTB","GTA",0.007222056,"Land cover",50
"324","Frac_rice.50","GTB","SLTA",0.007331167,"Land cover",50
"325","Frac_rice.50","GTA","GTB",0.0020644066,"Land cover",50
"326","Frac_rice.50","GTA","SLTA",0.0036821628,"Land cover",50
"327","Frac_rice.50","SLTA","GTB",0.0089169815,"Land cover",50
"328","Frac_rice.50","SLTA","GTA",0.008739853,"Land cover",50
"329","Frac_rice.50","Mean",NA,0.00632610448333333,"Land cover",50
"330","Frac_rice.500","GTB","GTA",0,"Land cover",500
"331","Frac_rice.500","GTB","SLTA",0.018018277,"Land cover",500
"332","Frac_rice.500","GTA","GTB",0.0013117557,"Land cover",500
"333","Frac_rice.500","GTA","SLTA",0.005213409,"Land cover",500
"334","Frac_rice.500","SLTA","GTB",0.014513879,"Land cover",500
"335","Frac_rice.500","SLTA","GTA",0.012751445,"Land cover",500
"336","Frac_rice.500","Mean",NA,0.00863479428333333,"Land cover",500
"337","Frac_tree.100","GTB","GTA",0,"Land cover",100
"338","Frac_tree.100","GTB","SLTA",0.010674632,"Land cover",100
"339","Frac_tree.100","GTA","GTB",0.012198908,"Land cover",100
"340","Frac_tree.100","GTA","SLTA",0.013999503,"Land cover",100
"341","Frac_tree.100","SLTA","GTB",0.008968389,"Land cover",100
"342","Frac_tree.100","SLTA","GTA",0.009054005,"Land cover",100
"343","Frac_tree.100","Mean",NA,0.00914923949999999,"Land cover",100
"344","Frac_tree.1000","GTB","GTA",0.010526166,"Land cover",1000
"345","Frac_tree.1000","GTB","SLTA",0.0162114,"Land cover",1000
"346","Frac_tree.1000","GTA","GTB",0.0016438734,"Land cover",1000
"347","Frac_tree.1000","GTA","SLTA",0.016176227,"Land cover",1000
"348","Frac_tree.1000","SLTA","GTB",0.009845989,"Land cover",1000
"349","Frac_tree.1000","SLTA","GTA",0.009670992,"Land cover",1000
"350","Frac_tree.1000","Mean",NA,0.0106791079,"Land cover",1000
"351","Frac_tree.200","GTB","GTA",0,"Land cover",200
"352","Frac_tree.200","GTB","SLTA",0.013857158,"Land cover",200
"353","Frac_tree.200","GTA","GTB",0.002253439,"Land cover",200
"354","Frac_tree.200","GTA","SLTA",0.039400283,"Land cover",200
"355","Frac_tree.200","SLTA","GTB",0.008993684,"Land cover",200
"356","Frac_tree.200","SLTA","GTA",0.0102346325,"Land cover",200
"357","Frac_tree.200","Mean",NA,0.01245653275,"Land cover",200
"358","Frac_tree.25","GTB","GTA",0,"Land cover",25
"359","Frac_tree.25","GTB","SLTA",0.012428863,"Land cover",25
"360","Frac_tree.25","GTA","GTB",0.001907439,"Land cover",25
"361","Frac_tree.25","GTA","SLTA",0.013557592,"Land cover",25
"362","Frac_tree.25","SLTA","GTB",0.009948897,"Land cover",25
"363","Frac_tree.25","SLTA","GTA",0.009077403,"Land cover",25
"364","Frac_tree.25","Mean",NA,0.00782003233333333,"Land cover",25
"365","Frac_tree.50","GTB","GTA",0,"Land cover",50
"366","Frac_tree.50","GTB","SLTA",0.007374376,"Land cover",50
"367","Frac_tree.50","GTA","GTB",0.002635893,"Land cover",50
"368","Frac_tree.50","GTA","SLTA",0.015068566,"Land cover",50
"369","Frac_tree.50","SLTA","GTB",0.008025822,"Land cover",50
"370","Frac_tree.50","SLTA","GTA",0.008358373,"Land cover",50
"371","Frac_tree.50","Mean",NA,0.006910505,"Land cover",50
"372","Frac_tree.500","GTB","GTA",0,"Land cover",500
"373","Frac_tree.500","GTB","SLTA",0.014013928,"Land cover",500
"374","Frac_tree.500","GTA","GTB",0.037518658,"Land cover",500
"375","Frac_tree.500","GTA","SLTA",0.012656083,"Land cover",500
"376","Frac_tree.500","SLTA","GTB",0.012448223,"Land cover",500
"377","Frac_tree.500","SLTA","GTA",0.010599968,"Land cover",500
"378","Frac_tree.500","Mean",NA,0.0145394766666667,"Land cover",500
"379","Frac_water.100","GTB","GTA",0.007804373,"Land cover",100
"380","Frac_water.100","GTB","SLTA",0.008372987,"Land cover",100
"381","Frac_water.100","GTA","GTB",0,"Land cover",100
"382","Frac_water.100","GTA","SLTA",0,"Land cover",100
"383","Frac_water.100","SLTA","GTB",0.011070464,"Land cover",100
"384","Frac_water.100","SLTA","GTA",0.00997112,"Land cover",100
"385","Frac_water.100","Mean",NA,0.00620315733333333,"Land cover",100
"386","Frac_water.1000","GTB","GTA",0.0071756397,"Land cover",1000
"387","Frac_water.1000","GTB","SLTA",0.008638038,"Land cover",1000
"388","Frac_water.1000","GTA","GTB",0.0041028084,"Land cover",1000
"389","Frac_water.1000","GTA","SLTA",0.034433495,"Land cover",1000
"390","Frac_water.1000","SLTA","GTB",0.011805053,"Land cover",1000
"391","Frac_water.1000","SLTA","GTA",0.012660684,"Land cover",1000
"392","Frac_water.1000","Mean",NA,0.0131359530166667,"Land cover",1000
"393","Frac_water.200","GTB","GTA",0.0070813047,"Land cover",200
"394","Frac_water.200","GTB","SLTA",0.017164236,"Land cover",200
"395","Frac_water.200","GTA","GTB",0,"Land cover",200
"396","Frac_water.200","GTA","SLTA",0,"Land cover",200
"397","Frac_water.200","SLTA","GTB",0.009729324,"Land cover",200
"398","Frac_water.200","SLTA","GTA",0.01017792,"Land cover",200
"399","Frac_water.200","Mean",NA,0.00735879744999999,"Land cover",200
"400","Frac_water.25","GTB","GTA",0,"Land cover",25
